MERHABA!
-------- day 0 --------
name, sellIn, quality
Bulutsuzluk özlemi konser bileti, 6, 33
Bulutsuzluk özlemi konser bileti, 1, 50
Bulutsuzluk özlemi konser bileti, -4, 0
Çatapat, -6, 0

-------- day 10 --------
name, sellIn, quality
+3 Fotokopi, 0, 10
Eski Kaşar Peyniri, -8, 18
Gemlik zeytini, -5, 0
Sebze meyve, 0, 80
Sebze meyve, -1, 80
Bulutsuzluk özlemi konser bileti, 5, 35
Bulutsuzluk özlemi konser bileti, 0, 50
Bulutsuzluk özlemi konser bileti, -5, 0
Çatapat, -7, 0

-------- day 11 --------
name, sellIn, quality
+3 Fotokopi, -1, 8
Eski Kaşar Peyniri, -9, 20
Gemlik zeytini, -6, 0
Sebze meyve, 0, 80
Sebze meyve, -1, 80
Bulutsuzluk özlemi konser bileti, 4, 38
Bulutsuzluk özlemi konser bileti, -1, 0
Bulutsuzluk özlemi konser bileti, -6, 0
Çatapat, -8, 0

-------- day 12 --------
name, sellIn, quality
+3 Fotokopi, -2, 6
Eski Kaşar Peyniri, -10, 22
Gemlik zeytini, -7, 0
Sebze meyve, 0, 80
Sebze meyve, -1, 80
Bulutsuzluk özlemi konser bileti, 3, 41
Bulutsuzluk özlemi konser bileti, -2, 0
Bulutsuzluk özlemi konser bileti, -7, 0
Çatapat, -9, 0

-------- day 13 --------
name, sellIn, quality
+3 Fotokopi, -3, 4
Eski Kaşar Peyniri, -11, 24
Gemlik zeytini, -8, 0
Sebze meyve, 0, 80
Sebze meyve, -1, 80
Bulutsuzluk özlemi konser bileti, 2, 44
Bulutsuzluk özlemi konser bileti, -3, 0
Bulutsuzluk özlemi konser bileti, -8, 0
Çatapat, -10, 0

-------- day 14 --------
name, sellIn, quality
+3 Fotokopi, -4, 2
Eski Kaşar Peyniri, -12, 26
Gemlik zeytini, -9, 0
Sebze meyve, 0, 80
Sebze meyve, -1, 80
Bulutsuzluk özlemi konser bileti, 1, 47
Bulutsuzluk özlemi konser bileti, -4, 0
Bulutsuzluk özlemi konser bileti, -9, 0
Çatapat, -11, 0

-------- day 15 --------
name, sellIn, quality
+3 Fotokopi, -5, 0
Eski Kaşar Peyniri, -13, 28
Gemlik zeytini, -10, 0
Sebze meyve, 0, 80
Sebze meyve, -1, 80
Bulutsuzluk özlemi konser bileti, 0, 50
Bulutsuzluk özlemi konser bileti, -5, 0
Bulutsuzluk özlemi konser bileti, -10, 0
Çatapat, -12, 0

-------- day 16 --------
name, sellIn, quality
+3 Fotokopi, -6, 0
Eski Kaşar Peyniri, -14, 30
Gemlik zeytini, -11, 0
Sebze meyve, 0, 80
Sebze meyve, -1, 80
Bulutsuzluk özlemi konser bileti, -1, 0
Bulutsuzluk özlemi konser bileti, -6, 0
Bulutsuzluk özlemi konser bileti, -11, 0
Çatapat, -13, 0

-------- day 17 --------
name, sellIn, quality
+3 Fotokopi, -7, 0
Eski Kaşar Peyniri, -15, 32
Gemlik zeytini, -12, 0
Sebze meyve, 0, 80
Sebze meyve, -1, 80
Bulutsuzluk özlemi konser bileti, -2, 0
Bulutsuzluk özlemi konser bileti, -7, 0
Bulutsuzluk özlemi konser bileti, -12, 0
Çatapat, -14, 0

-------- day 18 --------
name, sellIn, quality
+3 Fotokopi, -8, 0
Eski Kaşar Peyniri, -16, 34
Gemlik zeytini, -13, 0
Sebze meyve, 0, 80
Sebze meyve, -1, 80
Bulutsuzluk özlemi konser bileti, -3, 0
Bulutsuzluk özlemi konser bileti, -8, 0
Bulutsuzluk özlemi konser bileti, -13, 0
Çatapat, -15, 0

-------- day 19 --------
name, sellIn, quality
+3 Fotokopi, -9, 0
Eski Kaşar Peyniri, -17, 36
Gemlik zeytini, -14, 0
Sebze meyve, 0, 80
Sebze meyve, -1, 80
Bulutsuzluk özlemi konser bileti, -4, 0
Bulutsuzluk özlemi konser bileti, -9, 0
Bulutsuzluk özlemi konser bileti, -14, 0
Çatapat, -16, 0

-------- day 20 --------
name, sellIn, quality
+3 Fotokopi, -10, 0
Eski Kaşar Peyniri, -18, 38
Gemlik zeytini, -15, 0
Sebze meyve, 0, 80
Sebze meyve, -1, 80
Bulutsuzluk özlemi konser bileti, -5, 0
Bulutsuzluk özlemi konser bileti, -10, 0
Bulutsuzluk özlemi konser bileti, -15, 0
Çatapat, -17, 0

-------- day 21 --------
name, sellIn, quality
+3 Fotokopi, -11, 0
Eski Kaşar Peyniri, -19, 40
Gemlik zeytini, -16, 0
Sebze meyve, 0, 80
Sebze meyve, -1, 80
Bulutsuzluk özlemi konser bileti, -6, 0
Bulutsuzluk özlemi konser bileti, -11, 0
Bulutsuzluk özlemi konser bileti, -16, 0
Çatapat, -18, 0

-------- day 22 --------
name, sellIn, quality
+3 Fotokopi, -12, 0
Eski Kaşar Peyniri, -20, 42
Gemlik zeytini, -17, 0
Sebze meyve, 0, 80
Sebze meyve, -1, 80
Bulutsuzluk özlemi konser bileti, -7, 0
Bulutsuzluk özlemi konser bileti, -12, 0
Bulutsuzluk özlemi konser bileti, -17, 0
Çatapat, -19, 0

-------- day 23 --------
name, sellIn, quality
+3 Fotokopi, -13, 0
Eski Kaşar Peyniri, -21, 44
Gemlik zeytini, -18, 0
Sebze meyve, 0, 80
Sebze meyve, -1, 80
Bulutsuzluk özlemi konser bileti, -8, 0
Bulutsuzluk özlemi konser bileti, -13, 0
Bulutsuzluk özlemi konser bileti, -18, 0
Çatapat, -20, 0

-------- day 24 --------
name, sellIn, quality
+3 Fotokopi, -14, 0
Eski Kaşar Peyniri, -22, 46
Gemlik zeytini, -19, 0
Sebze meyve, 0, 80
Sebze meyve, -1, 80
Bulutsuzluk özlemi konser bileti, -9, 0
Bulutsuzluk özlemi konser bileti, -14, 0
Bulutsuzluk özlemi konser bileti, -19, 0
Çatapat, -21, 0

-------- day 25 --------
name, sellIn, quality
+3 Fotokopi, -15, 0
Eski Kaşar Peyniri, -23, 48
Gemlik zeytini, -20, 0
Sebze meyve, 0, 80
Sebze meyve, -1, 80
Bulutsuzluk özlemi konser bileti, -10, 0
Bulutsuzluk özlemi konser bileti, -15, 0
Bulutsuzluk özlemi konser bileti, -20, 0
Çatapat, -22, 0

-------- day 26 --------
name, sellIn, quality
+3 Fotokopi, -16, 0
Eski Kaşar Peyniri, -24, 50
Gemlik zeytini, -21, 0
Sebze meyve, 0, 80
Sebze meyve, -1, 80
Bulutsuzluk özlemi konser bileti, -11, 0
Bulutsuzluk özlemi konser bileti, -16, 0
Bulutsuzluk özlemi konser bileti, -21, 0
Çatapat, -23, 0

-------- day 27 --------
name, sellIn, quality
+3 Fotokopi, -17, 0
Eski Kaşar Peyniri, -25, 50
Gemlik zeytini, -22, 0
Sebze meyve, 0, 80
Sebze meyve, -1, 80
Bulutsuzluk özlemi konser bileti, -12, 0
Bulutsuzluk özlemi konser bileti, -17, 0
Bulutsuzluk özlemi konser bileti, -22, 0
Çatapat, -24, 0

-------- day 28 --------
name, sellIn, quality
+3 Fotokopi, -18, 0
Eski Kaşar Peyniri, -26, 50
Gemlik zeytini, -23, 0
Sebze meyve, 0, 80
Sebze meyve, -1, 80
Bulutsuzluk özlemi konser bileti, -13, 0
Bulutsuzluk özlemi konser bileti, -18, 0
Bulutsuzluk özlemi konser bileti, -23, 0
Çatapat, -25, 0

-------- day 29 --------
name, sellIn, quality
+3 Fotokopi, -19, 0
Eski Kaşar Peyniri, -27, 50
Gemlik zeytini, -24, 0
Sebze meyve, 0, 80
Sebze meyve, -1, 80
Bulutsuzluk özlemi konser bileti, -14, 0
Bulutsuzluk özlemi konser bileti, -19, 0
Bulutsuzluk özlemi konser bileti, -24, 0
Çatapat, -26, 0

-------- day 30 --------
name, sellIn, quality
+3 Fotokopi, -20, 0
Eski Kaşar Peyniri, -28, 50
Gemlik zeytini, -25, 0
Sebze meyve, 0, 80
Sebze meyve, -1, 80
Bulutsuzluk özlemi konser bileti, -15, 0
Bulutsuzluk özlemi konser bileti, -20, 0
Bulutsuzluk özlemi konser bileti, -25, 0
Çatapat, -27, 0

